link,title,description,pubDate
https://www.tri247.com/triathlon-news/elite/lievin-t1-indoor-triathlon-world-cup-2025-start-lists-announced-pro-men-women?utm_source=rss&utm_medium=rss&utm_campaign=lievin-t1-indoor-triathlon-world-cup-2025-start-lists-announced-pro-men-women,Lievin Indoor Triathlon World Cup start lists revealed – who’s taking on Hayden Wilde and Cassandre Beaugrand?,"The Lievin T1 Indoor Triathlon World Cup features a host of star names racing over the unique format of a 200m swim, 2.8km bike and 1km run The post Lievin Indoor Triathlon World Cup start lists revealed – who’s taking on Hayden Wilde and Cassandre Beaugrand? appeared first on TRI247 .","Mon, 03 Mar 2025 07:00:00 +0000"
https://www.tri247.com/triathlon-news/elite/laura-philipp-challenge-roth-announcement-2025?utm_source=rss&utm_medium=rss&utm_campaign=laura-philipp-challenge-roth-announcement-2025,Challenge Roth 2025: IRONMAN World Champion Laura Philipp will bid for first win in iconic triathlon,The IRONMAN world champion is looking to add another coveted title to her collection on home roads in Germany this summer The post Challenge Roth 2025: IRONMAN World Champion Laura Philipp will bid for first win in iconic triathlon appeared first on TRI247 .,"Sun, 02 Mar 2025 19:00:00 +0000"
https://www.tri247.com/triathlon-news/elite/tim-hellwig-olympic-triathlon-paris-2024-knee-surgery-rehab?utm_source=rss&utm_medium=rss&utm_campaign=tim-hellwig-olympic-triathlon-paris-2024-knee-surgery-rehab,Olympic triathlon champion undergoes knee surgery after racing through the pain to Paris 2024 glory,Tim Hellwig was part of Germany's victorious Olympic Mixed Relay team but has just gone under the knife The post Olympic triathlon champion undergoes knee surgery after racing through the pain to Paris 2024 glory appeared first on TRI247 .,"Sun, 02 Mar 2025 08:00:00 +0000"
https://www.tri247.com/triathlon-news/elite/lionel-sanders-triathlete-diabetes-nutrition-healthy-eating-sleeping?utm_source=rss&utm_medium=rss&utm_campaign=lionel-sanders-triathlete-diabetes-nutrition-healthy-eating-sleeping,"Pro triathlon superstar Lionel Sanders reveals ‘I don’t want to die young of diabetes, and I’m headed that way right now’","A health scare for the Canadian star has encouraged him to change his eating habits. The post Pro triathlon superstar Lionel Sanders reveals ‘I don’t want to die young of diabetes, and I’m headed that way right now’ appeared first on TRI247 .","Sat, 01 Mar 2025 21:00:00 +0000"
https://www.tri247.com/triathlon-news/elite/triathlon-star-ironman-new-zealand-dns-agony-hit-by-car-injured?utm_source=rss&utm_medium=rss&utm_campaign=triathlon-star-ironman-new-zealand-dns-agony-hit-by-car-injured,Top triathlon star suffers IRONMAN New Zealand DNS agony after being hit by car and injured,Awful news from New Zealand as the big race in Taupō lost a key figure. The post Top triathlon star suffers IRONMAN New Zealand DNS agony after being hit by car and injured appeared first on TRI247 .,"Sat, 01 Mar 2025 10:50:23 +0000"
https://www.tri247.com/triathlon-news/elite/ironman-new-zealand-2025-results-report-times-finishing-order?utm_source=rss&utm_medium=rss&utm_campaign=ironman-new-zealand-2025-results-report-times-finishing-order,IRONMAN New Zealand results 2025: Glory again for Phillips but McCauley hat-trick bid falls short,"A hat-trick for a Kiwi star in Taupō on Saturday, and a near miss for an American raider. The post IRONMAN New Zealand results 2025: Glory again for Phillips but McCauley hat-trick bid falls short appeared first on TRI247 .","Sat, 01 Mar 2025 08:32:46 +0000"
https://www.tri247.com/triathlon-news/jimmy-whelan-pro-cycling-triathlete-debut-race-2025-goals-ambitions?utm_source=rss&utm_medium=rss&utm_campaign=jimmy-whelan-pro-cycling-triathlete-debut-race-2025-goals-ambitions,Pro cycling star has big ambitions in 2025 after switching sports to become a pro triathlete,"The ambitious Aussie has revealed his schedule and vowed to ""be competitive in some big races"" The post Pro cycling star has big ambitions in 2025 after switching sports to become a pro triathlete appeared first on TRI247 .","Fri, 28 Feb 2025 21:00:00 +0000"
https://www.tri247.com/triathlon-news/age-group/age-group-champion-triathlon-balance-training-tips?utm_source=rss&utm_medium=rss&utm_campaign=age-group-champion-triathlon-balance-training-tips,The triathlon-life balance: Kona age-group champion on how to keep all the plates spinning,Get insights from an age-group World Champion on juggling the work-family-training balance to achieve your triathlon goals. The post The triathlon-life balance: Kona age-group champion on how to keep all the plates spinning appeared first on TRI247 .,"Fri, 28 Feb 2025 19:00:00 +0000"
https://www.tri247.com/triathlon-news/elite/ironman-new-zealand-2025-pro-men-start-time-start-list-preview?utm_source=rss&utm_medium=rss&utm_campaign=ironman-new-zealand-2025-pro-men-start-time-start-list-preview,"IRONMAN New Zealand 2025: Date, time, start list and preview as Joe Skipper targets glory","It's the first full-distance race of the pro season and it looks wide open in Taupō, with four World Championships spots up for grabs The post IRONMAN New Zealand 2025: Date, time, start list and preview as Joe Skipper targets glory appeared first on TRI247 .","Fri, 28 Feb 2025 07:00:00 +0000"
https://www.tri247.com/triathlon-news/age-group/liam-messam-all-blacks-rugby-triathlon-ironman-new-zealand-2025?utm_source=rss&utm_medium=rss&utm_campaign=liam-messam-all-blacks-rugby-triathlon-ironman-new-zealand-2025,IRONMAN New Zealand 2025: All Blacks rugby star ready to take on epic triathlon challenge,Former All Blacks star Liam Messam will be on the start line in Taupo The post IRONMAN New Zealand 2025: All Blacks rugby star ready to take on epic triathlon challenge appeared first on TRI247 .,"Thu, 27 Feb 2025 21:00:00 +0000"
https://www.triathlete.com/culture/news/8-pro-triathletes-youd-better-watch-in-2025/,"8 Pro Triathletes You’d Better Watch in 2025, According to Another Pro","Laura Siddall breaks down eight pro triathletes whose stock is about to take a huge jump in 2025. Learn more about who is on the cusp of a big breakthrough - before it happens. Read the full article at 8 Pro Triathletes You’d Better Watch in 2025, According to Another Pro on Triathlete .","Mon, 03 Mar 2025 11:14:05 +0000"
https://www.triathlete.com/culture/news/triathlon-news-notes-february-2025-edition/,Triathlon News & Notes: February 2025 Edition,"The return of the Malibu Triathlon, the triathlete who won the “Athletes' Athlete of the Year” award, and Supertri goes all-in on age-groupers - catch up on what you may have missed in multisport for February 2025. Read the full article at Triathlon News & Notes: February 2025 Edition on Triathlete .","Thu, 27 Feb 2025 13:00:33 +0000"
https://www.triathlete.com/culture/news/imogen-simmonds-doping-violation/,Imogen Simmonds Receives Provisional Suspension for Anti-Doping Violation,"The International Testing Agency has announced that Simmonds has tested positive for Ligandrol, a banned substance, which she claims was caused by exposure through “intimate relations” with her partner. Read the full article at Imogen Simmonds Receives Provisional Suspension for Anti-Doping Violation on Triathlete .","Wed, 26 Feb 2025 18:57:11 +0000"
https://www.triathlete.com/culture/news/professional-triathlete-sponsorship/,How Pro Triathletes Make Money: A Deep Dive Into Sponsorship,"Tim Heming speaks to athletes, agents, brands, and more to uncover one of the most taboo subjects in professional triathlon: sponsorship. Read the full article at How Pro Triathletes Make Money: A Deep Dive Into Sponsorship on Triathlete .","Wed, 26 Feb 2025 13:00:09 +0000"
https://www.triathlete.com/culture/news/2025-ironman-race-rules-change/,Ironman Will Now Count Your Water Bottles,"The organization’s new rules follow World Triathlon’s efforts to crack down on runaway hydration systems and aerobar extensions, while reducing drafting penalties - among other changes. Read the full article at Ironman Will Now Count Your Water Bottles on Triathlete .","Tue, 25 Feb 2025 23:12:04 +0000"
https://www.triathlete.com/culture/news/airtag-for-bike-protection-triathletes/,Should Triathletes Use AirTags to Protect Their Bikes?,"Spending thousands of dollars on a triathlon bike can be a stressful endeavor, can Apple’s AirTags (or similar tracking product) help provide peace of mind? The truth isn’t as simple as you’d think. Read the full article at Should Triathletes Use AirTags to Protect Their Bikes? on Triathlete .","Tue, 25 Feb 2025 13:00:24 +0000"
https://www.triathlete.com/culture/news/raceranger-age-group-debut-at-challenge-wanaka/,RaceRanger’s Debut at Challenge Wanaka: A New Era for Age Group Triathlon?,Anti-drafting technology made its age-group racing debut at Challenge Wanaka - is your local race next? We chat with RaceRanger CEO James Elvery about what’s ahead. Read the full article at RaceRanger’s Debut at Challenge Wanaka: A New Era for Age Group Triathlon? on Triathlete .,"Thu, 20 Feb 2025 16:31:00 +0000"
https://www.triathlete.com/culture/news/outside-plus-triathlete-members-guide/,The Outside+ Triathlete Member’s Guide,"As a thank-you for making us a part of your multisport journey next season, we’ve broken down our favorite tri-related Outside+ member perks for this year. Read the full article at The Outside+ Triathlete Member’s Guide on Triathlete .","Wed, 19 Feb 2025 16:03:29 +0000"
