link,title,description,pubDate
https://www.triathlete.com/culture/news/triathlon-news-notes-february-2025-edition/,Triathlon News & Notes: February 2025 Edition,"The return of the Malibu Triathlon, the triathlete who won the “Athletes' Athlete of the Year” award, and Supertri goes all-in on age-groupers - catch up on what you may have missed in multisport for February 2025. Read the full article at Triathlon News & Notes: February 2025 Edition on Triathlete .",2025-02-27 13:00:33+00:00
https://www.220triathlon.com/news/lalex-yee-london-marathon-training-plan,London calling: Alex Yee’s London Marathon training,"In an event for the ages, COROS athlete Alex Yee will take on this year’s TCS London Marathon. Here’s how he’s training for it...",2025-02-27 12:05:00+00:00
https://www.220triathlon.com/news/how-to-watch-the-t100-triathlon-world-tour,How to watch Singapore T100,"The first race of the 2025 T100 Triathlon World Tour takes place in Singapore on 5-6 April. Here's everything you need to know, plus how to catch all the action live…",2025-02-27 11:30:00+00:00
https://tri-today.com/2025/02/ironman-follows-rules-of-world-triathlon-three-minute-penalty-for-full-distance-drafting/,Ironman follows rules of World Triathlon: three-minute penalty for Full Distance drafting,"Ironman, which makes and follows its own rules, is partially following World Triathlon’s new rules this year: that means, among other things, that a blue card for drafting in a Full Distance Ironman will now result in a three-minute penalty instead of a five-minute penalty. In addition the length of aerobars will be limited. The The post Ironman follows rules of World Triathlon: three-minute penalty for Full Distance drafting appeared first on Triathlon Today .",2025-02-27 10:37:00+00:00
https://tri-today.com/2025/02/tragedy-for-pieter-heemeryck-belgian-athlete-breaks-collarbone-in-collision-and-misses-im-new-zealand/,Tragedy for Pieter Heemeryck: Belgian athlete breaks collarbone in collision and misses IM New Zealand,"What should have been a great start to the season ends in tragedy for Pieter Heemeryck: the Belgian triathlete was hit by a car in New Zealand’s Taupo on Thursday as he doing one of his final bike training sessions before Ironman New Zealand. In the process, he broke his collarbone. For Heemeryck, this means The post Tragedy for Pieter Heemeryck: Belgian athlete breaks collarbone in collision and misses IM New Zealand appeared first on Triathlon Today .",2025-02-27 08:25:35+00:00
https://www.tri247.com/triathlon-news/elite/ironman-global-competition-rule-changes-2025?utm_source=rss&utm_medium=rss&utm_campaign=ironman-global-competition-rule-changes-2025,IRONMAN changes ALL triathlon drafting penalties in major shake up ahead of 2025 season,"From drafting time penalties to pets on the finish line, we run through the myriad of rule changes The post IRONMAN changes ALL triathlon drafting penalties in major shake up ahead of 2025 season appeared first on TRI247 .",2025-02-27 07:00:00+00:00
https://www.tri247.com/triathlon-news/age-group/sam-long-age-group-training-challenges?utm_source=rss&utm_medium=rss&utm_campaign=sam-long-age-group-training-challenges,US pro triathlon star Sam Long on the HARSH reality for Age Groupers,"""I still think you can be really good on less than 15 hours per week. Do I think you can be world class, no, I don't."" The post US pro triathlon star Sam Long on the HARSH reality for Age Groupers appeared first on TRI247 .",2025-02-26 21:00:00+00:00
https://triathlonmagazine.ca/news/drafting-water-bottles-and-aerobars-the-target-of-new-ironman-rules/,"Drafting, water bottles and aerobars the target of new Ironman rules","Ironman reduces penalties for drafting, restricts water bottles and aerodynamics The post Drafting, water bottles and aerobars the target of new Ironman rules appeared first on Triathlon Magazine Canada .",2025-02-26 20:26:24+00:00
https://www.tri247.com/triathlon-news/elite/imogen-simmonds-reveals-positive-drug-test-ligandrol?utm_source=rss&utm_medium=rss&utm_campaign=imogen-simmonds-reveals-positive-drug-test-ligandrol,World top-10 triathlete reveals positive drug test “nightmare” and blames “transfer of bodily fluid”,"Swiss star says ""to have my name be associated with a banned substance is heartbreaking"" and vows to prove her innocence The post World top-10 triathlete reveals positive drug test “nightmare” and blames “transfer of bodily fluid” appeared first on TRI247 .",2025-02-26 19:00:00+00:00
https://www.triathlete.com/culture/news/imogen-simmonds-doping-violation/,Imogen Simmonds Receives Provisional Suspension for Anti-Doping Violation,"The International Testing Agency has announced that Simmonds has tested positive for Ligandrol, a banned substance, which she claims was caused by exposure through “intimate relations” with her partner. Read the full article at Imogen Simmonds Receives Provisional Suspension for Anti-Doping Violation on Triathlete .",2025-02-26 18:57:11+00:00
