channel_id,title,videoId,thumbnail,publishedAt
UC-gct8TB_8l5HsQHBBr8hyQ,Breaking the Cycle of Bad Eating and Poor Sleep,sdn2c81yDpA,https://i.ytimg.com/vi/sdn2c81yDpA/mqdefault.jpg,2025-02-24T18:30:51Z
UC-gct8TB_8l5HsQHBBr8hyQ,How I Train VO2 Max on the Bike,uoBklnh55vg,https://i.ytimg.com/vi/uoBklnh55vg/mqdefault.jpg,2025-02-18T20:10:07Z
UC-gct8TB_8l5HsQHBBr8hyQ,"Train Smarter, Not Harder",CL8N2kTemoY,https://i.ytimg.com/vi/CL8N2kTemoY/mqdefault.jpg,2025-02-07T19:54:11Z
UC-gct8TB_8l5HsQHBBr8hyQ,Lessons Learned in 2024: Lionel Sanders’ Brutally Honest Recap,dMCBWPHb9pI,https://i.ytimg.com/vi/dMCBWPHb9pI/mqdefault.jpg,2024-12-30T21:34:28Z
UC-gct8TB_8l5HsQHBBr8hyQ,Why Winning Starts in the Mind (And Most Athletes Ignore This),X5XciW4Kmc4,https://i.ytimg.com/vi/X5XciW4Kmc4/mqdefault.jpg,2024-12-19T19:43:26Z
UC-gct8TB_8l5HsQHBBr8hyQ,This Will Change the Way I Train Forever,cyjYyiKFgqw,https://i.ytimg.com/vi/cyjYyiKFgqw/mqdefault.jpg,2024-12-12T16:00:04Z
UC-gct8TB_8l5HsQHBBr8hyQ,Lionel Sanders&#39; Thoughts on the Ironman World Championships,HGJB4mYsojw,https://i.ytimg.com/vi/HGJB4mYsojw/mqdefault.jpg,2024-10-30T15:00:07Z
UC-gct8TB_8l5HsQHBBr8hyQ,Kona Vlog 18 || Final Prep and Bike Check-In,bdA_8eODC3Y,https://i.ytimg.com/vi/bdA_8eODC3Y/mqdefault.jpg,2024-10-26T11:00:07Z
UC-gct8TB_8l5HsQHBBr8hyQ,Kona Vlog 17 || Should Lionel Go All-In on Race Day?,MYJwZYdlMvg,https://i.ytimg.com/vi/MYJwZYdlMvg/mqdefault.jpg,2024-10-25T20:07:58Z
UC-gct8TB_8l5HsQHBBr8hyQ,Kona Vlog 16 || Pickleball with the GOATs and Final Bike Setup,SZoMc608pow,https://i.ytimg.com/vi/SZoMc608pow/mqdefault.jpg,2024-10-24T19:00:08Z
UCaJDcjxkg5YSTLWwxIUMsxA,Paris Test Event: Race Week - Episode 2,nG_jtczYhNg,https://i.ytimg.com/vi/nG_jtczYhNg/mqdefault.jpg,2023-08-16T21:10:31Z
UCaJDcjxkg5YSTLWwxIUMsxA,Paris Test Event: Race Week - Episode 1,hWZI7aA2Fg8,https://i.ytimg.com/vi/hWZI7aA2Fg8/mqdefault.jpg,2023-08-16T00:41:37Z
UCaJDcjxkg5YSTLWwxIUMsxA,Best Wedding Proposal Ever! || Talbot + Laurajean,PZdkbkwJ98g,https://i.ytimg.com/vi/PZdkbkwJ98g/mqdefault.jpg,2021-02-16T22:18:18Z
UCaJDcjxkg5YSTLWwxIUMsxA,Ironman World Championship Bike Course || 1 Hour,2N19c3STLh8,https://i.ytimg.com/vi/2N19c3STLh8/mqdefault.jpg,2020-10-10T11:00:11Z
UCaJDcjxkg5YSTLWwxIUMsxA,Kona Series Compilation || 2019 Ironman World Championships,wOr_h1WjemQ,https://i.ytimg.com/vi/wOr_h1WjemQ/mqdefault.jpg,2020-02-12T02:51:29Z
UCaJDcjxkg5YSTLWwxIUMsxA,4K Video Ultra HD - KONA Drone Compilation,TGMMutQ7K2A,https://i.ytimg.com/vi/TGMMutQ7K2A/mqdefault.jpg,2019-10-22T20:42:59Z
UCaJDcjxkg5YSTLWwxIUMsxA,Kona Series Hype,li48PBhbXQ8,https://i.ytimg.com/vi/li48PBhbXQ8/mqdefault.jpg,2019-10-11T22:00:12Z
UCaJDcjxkg5YSTLWwxIUMsxA,Indy Car and Ironman Balance || Tony Kanaan,pA-CKDF590o,https://i.ytimg.com/vi/pA-CKDF590o/mqdefault.jpg,2019-10-11T21:40:41Z
UCaJDcjxkg5YSTLWwxIUMsxA,Just Keep Smiling || Michell Vesterby,ul84mxYddfw,https://i.ytimg.com/vi/ul84mxYddfw/mqdefault.jpg,2019-10-11T11:27:14Z
UCaJDcjxkg5YSTLWwxIUMsxA,The fastest swimmer in Triathlon || Josh Amberger,S5PwGH7VNM0,https://i.ytimg.com/vi/S5PwGH7VNM0/mqdefault.jpg,2019-10-10T20:00:11Z
UCNQaItQ0LLVu5987SD88s2w,Marriage &amp; the Pro Athlete Life: Gwen &amp; Pat’s Secrets to Balance,fcJz9Ca2hcM,https://i.ytimg.com/vi/fcJz9Ca2hcM/mqdefault.jpg,2025-02-11T06:13:51Z
UCNQaItQ0LLVu5987SD88s2w,No Stone Left Unturned: Bike Drills and Skills,o9E_qBwgG20,https://i.ytimg.com/vi/o9E_qBwgG20/mqdefault.jpg,2025-01-25T14:20:12Z
UCNQaItQ0LLVu5987SD88s2w,One Hill to Rule Them All: NCAR Hill Repeats!,xVPEJxbr2II,https://i.ytimg.com/vi/xVPEJxbr2II/mqdefault.jpg,2025-01-08T13:56:15Z
UCNQaItQ0LLVu5987SD88s2w,10x RACE PACE // The 2025 Build,6dW9piryv98,https://i.ytimg.com/vi/6dW9piryv98/mqdefault.jpg,2024-12-12T15:04:41Z
UCNQaItQ0LLVu5987SD88s2w,The 2025 Season Begins Now,blsHSQaIhIk,https://i.ytimg.com/vi/blsHSQaIhIk/mqdefault.jpg,2024-12-04T19:00:30Z
UCNQaItQ0LLVu5987SD88s2w,WTC MIYAZAKI || SPRINT FINISH WIN!!,wF75C-fimic,https://i.ytimg.com/vi/wF75C-fimic/mqdefault.jpg,2024-11-13T20:36:29Z
UCNQaItQ0LLVu5987SD88s2w,The Grand Final // RACE WEEK PREP,ZcfGT6zvv7k,https://i.ytimg.com/vi/ZcfGT6zvv7k/mqdefault.jpg,2024-10-15T12:53:21Z
UCNQaItQ0LLVu5987SD88s2w,8 Weeks Post-Surgery &amp; Back in the Top 10,F6cizAAnOIo,https://i.ytimg.com/vi/F6cizAAnOIo/mqdefault.jpg,2024-10-03T15:46:12Z
UCNQaItQ0LLVu5987SD88s2w,What&#39;s next for Me? 21 Questions on My Long Run,9-1iDHhkCjM,https://i.ytimg.com/vi/9-1iDHhkCjM/mqdefault.jpg,2024-09-05T14:24:03Z
UCNQaItQ0LLVu5987SD88s2w,One Day at a Time // Back to Training After Surgery,zwlDq_Ql4XU,https://i.ytimg.com/vi/zwlDq_Ql4XU/mqdefault.jpg,2024-08-06T19:32:15Z
UC6PP69DCmBwMCPf9RSSTNTg,Name a pool with a better view? I’ll wait…,z7hNxU8qhaY,https://i.ytimg.com/vi/z7hNxU8qhaY/mqdefault.jpg,2025-02-26T10:14:26Z
UC6PP69DCmBwMCPf9RSSTNTg,We are back with a full day in the life video! Who’s in? 💪🏻🏊🏻‍♀️☕️🐕📊 ​⁠,NQamMifLAdo,https://i.ytimg.com/vi/NQamMifLAdo/mqdefault.jpg,2025-02-19T15:21:48Z
UC6PP69DCmBwMCPf9RSSTNTg,Full Training Day as a Pro Triathlete,F3rfkfMlGH0,https://i.ytimg.com/vi/F3rfkfMlGH0/mqdefault.jpg,2025-02-19T14:38:54Z
UC6PP69DCmBwMCPf9RSSTNTg,Back home to the rain &amp; cold 🌧️🥶 But getting a boost on my indoor run ​🏃‍♀️@ASICSGlobal,3vs_MiMFytg,https://i.ytimg.com/vi/3vs_MiMFytg/mqdefault.jpg,2025-01-29T14:57:19Z
UC6PP69DCmBwMCPf9RSSTNTg,I can&#39;t wait to be back racing! | T100 Dubai,1tCcfDzmKxQ,https://i.ytimg.com/vi/1tCcfDzmKxQ/mqdefault.jpg,2024-11-30T18:14:16Z
UC6PP69DCmBwMCPf9RSSTNTg,Ironman Athlete at 1500m Nationals,x1bquhIqeYQ,https://i.ytimg.com/vi/x1bquhIqeYQ/mqdefault.jpg,2024-11-12T11:30:18Z
UC6PP69DCmBwMCPf9RSSTNTg,Zwift World Series | Lucy Charles-Barclay,R7VJAyoKyQY,https://i.ytimg.com/vi/R7VJAyoKyQY/mqdefault.jpg,2024-10-28T16:48:20Z
UC6PP69DCmBwMCPf9RSSTNTg,Mocap in action 🏃‍♀️ #athletelife #mocap #runner,lmOH6IxmnaI,https://i.ytimg.com/vi/lmOH6IxmnaI/mqdefault.jpg,2024-10-10T11:31:19Z
UC6PP69DCmBwMCPf9RSSTNTg,Zwift E-Racing Comeback,V1sZHudd8G4,https://i.ytimg.com/vi/V1sZHudd8G4/mqdefault.jpg,2024-10-08T16:43:34Z
UC6PP69DCmBwMCPf9RSSTNTg,Mum we’re famous! 🥹💖🐕🐶,omMkMQwgoIQ,https://i.ytimg.com/vi/omMkMQwgoIQ/mqdefault.jpg,2024-10-07T14:59:24Z
UC8AySUd_LUSiT3nX8XlDFlQ,"More Is More, Less Is a Bore! 🔥 Third 30-Hour Training Week + New Zwift Bike Test!",wAQl1zBIx_U,https://i.ytimg.com/vi/wAQl1zBIx_U/mqdefault.jpg,2025-03-02T16:00:55Z
UC8AySUd_LUSiT3nX8XlDFlQ,FUEGO FRIDAY,GLUxVEixG6c,https://i.ytimg.com/vi/GLUxVEixG6c/mqdefault.jpg,2025-03-01T00:06:38Z
UC8AySUd_LUSiT3nX8XlDFlQ,AMAZING RECIPE,BeqwhEnS0d0,https://i.ytimg.com/vi/BeqwhEnS0d0/mqdefault.jpg,2025-02-26T08:15:00Z
UC8AySUd_LUSiT3nX8XlDFlQ,🔥 35-Hour IRONMAN Training Week! DOUBLE Lionel Sanders&#39; Volume?! 🏊‍♂️🚴‍♂️🏃‍♂️,qoGgZ7QminU,https://i.ytimg.com/vi/qoGgZ7QminU/mqdefault.jpg,2025-02-25T12:45:07Z
UC8AySUd_LUSiT3nX8XlDFlQ,I DOUBLED Lionel Sanders&#39; Volume AND This Is What Happened! 35-Hour IRONMAN Training Week!,4BbidOofgA8,https://i.ytimg.com/vi/4BbidOofgA8/mqdefault.jpg,2025-02-23T16:00:03Z
UC8AySUd_LUSiT3nX8XlDFlQ,FUEGO FRIDAY,3V3m1WmZXfE,https://i.ytimg.com/vi/3V3m1WmZXfE/mqdefault.jpg,2025-02-21T18:26:55Z
UC8AySUd_LUSiT3nX8XlDFlQ,DAY IN THE LIFE DURING IRONMAN PREP,X4kSM303ycE,https://i.ytimg.com/vi/X4kSM303ycE/mqdefault.jpg,2025-02-20T23:32:26Z
